,Three.plus.bio,One.plus.bio,FSB,Recruits.thousands,Mort
1961,411714,421726,286489,84866,0.002
1962,404984,415135,277722,87689,0.002
1963,399727,409843,269440,88936,0.002
1964,395480,405378,262314,88654,0.002
1965,391630,401810,256714,86667,0.002
1966,388645,399127,252571,89139,0.011
1967,384814,395981,247901,91727,0.010
1968,383254,394160,244135,97855,0.008
1969,383141,393039,241375,95661,0.006
1970,382286,390626,239584,86952,0.009
1971,377148,406022,238254,70293,0.005
1972,405216,424045,238422,254312,0.020
1973,430311,466379,236487,162653,0.044
1974,477534,532107,231192,313305,0.021
1975,575478,606912,235161,481054,0.011
1976,659277,682328,253472,276475,0.011
1977,716282,744378,285454,201244,0.027
1978,757606,788488,328185,245705,0.021
1979,797594,832184,385082,270005,0.017
1980,841227,887070,437470,301468,0.016
1981,902887,948508,471790,401555,0.014
1982,972606,1009880,496345,400727,0.009
1983,1032613,1078370,523650,325425,0.011
1984,1095104,1145360,555804,400215,0.006
1985,1167516,1227350,598683,438956,0.002
1986,1258502,1323860,647268,523374,0.002
1987,1365064,1410050,693396,575322,0.007
1988,1437984,1487500,736291,393448,0.007
1989,1498026,1559090,785333,432170,0.003
1990,1572318,1621360,846525,536564,0.009
1991,1621898,1667580,903970,430062,0.011
1992,1652656,1710410,950486,398533,0.016
1993,1687160,1736810,982362,506951,0.016
1994,1709186,1746870,1008600,436468,0.023
1995,1696099,1736300,1022980,329712,0.018
1996,1678717,1723440,1034910,351534,0.022
1997,1659367,1700170,1041290,392239,0.016
1998,1641716,1692380,1048020,356057,0.013
1999,1641961,1703410,1046640,442362,0.016
2000,1663951,1725840,1034220,538218,0.025
2001,1690399,1794460,1014920,536344,0.021
2002,1800278,1858460,1005260,917591,0.022
2003,1873053,1931650,1006340,509499,0.030
2004,1914979,1970000,1019770,513617,0.015
2005,1951748,2010430,1065840,481475,0.018
2006,1973511,2040080,1124890,512929,0.025
2007,1995488,2073070,1172450,581478,0.022
2008,2043244,2090960,1198700,683548,0.025
2009,2046594,2109820,1206030,415766,0.021
2010,2058406,2098620,1214950,556852,0.020
2011,2035682,2070550,1231940,353014,0.026
2012,1975448,2028960,1245960,302993,0.017
2013,1940658,2033570,1256950,463478,0.018
2014,1980403,2073910,1252250,813624,0.031
2015,2049775,2093010,1221500,825564,0.014